,Open,High,Low,Close,ma_diff,sar_diff,trend
13-05-2022 19:00,30079.9765625,30100.427734375,29959.9375,30030.515625,38.68262362871246,-56.98588437500075,Uptrend
13-05-2022 20:00,30035.591796875,30055.470703125,29818.837890625,29819.16796875,-29.56084931820078,-54.70644900000116,Downtrend
13-05-2022 21:00,29815.677734375,30031.259765625,29782.142578125,30020.28125,-21.90102478798144,-52.51819103999878,Downtrend
13-05-2022 22:00,30020.740234375,30085.546875,29813.44140625,29817.03125,-64.97839968125118,-50.41746339840029,Downtrend
13-05-2022 23:00,29805.9140625,29825.5625,29226.451171875,29292.724609375,-213.73368628373646,-48.40076486246471,Downtrend
14-05-2022 00:00,29285.642578125,29516.82421875,29242.5703125,29484.294921875,-251.06192169369024,-84.66417171444846,Downtrend
14-05-2022 01:00,29481.333984375,29732.322265625,29404.4375,29682.912109375,-218.31733899036772,-79.58432141158119,Downtrend
14-05-2022 02:00,29684.935546875,29689.88671875,29540.328125,29540.328125,-225.5844968462079,-74.80926212688792,Downtrend
14-05-2022 03:00,29536.330078125,29603.3671875,29490.421875,29519.671875,-227.72460406572645,-70.32070639927406,Downtrend
14-05-2022 04:00,29529.947265625,29551.185546875,29234.421875,29252.873046875,-285.3096403845375,-66.10146401531529,Downtrend
14-05-2022 05:00,29265.4375,29467.087890625,29265.4375,29438.333984375,-266.82865684240824,-62.135376174399426,Downtrend
14-05-2022 06:00,29439.876953125,29547.5234375,29376.619140625,29496.37890625,-233.39042642318964,-58.407253603934805,Downtrend
14-05-2022 07:00,29489.3203125,29522.8203125,29406.55078125,29406.55078125,-227.1997639822912,-54.90281838769806,Downtrend
14-05-2022 08:00,29406.8984375,29525.873046875,29366.201171875,29525.873046875,-187.8429594569934,-51.60864928443698,Downtrend
14-05-2022 09:00,29521.1640625,29538.154296875,29377.751953125,29393.482421875,-189.66224333198625,-48.51213032736996,Downtrend
14-05-2022 10:00,29411.458984375,29448.9609375,29255.708984375,29262.01171875,-216.0411139265998,-45.60140250772747,Downtrend
14-05-2022 11:00,29273.685546875,29316.130859375,28860.791015625,29052.607421875,-274.9518965911593,-42.86531835726419,Downtrend
14-05-2022 12:00,29031.044921875,29160.294921875,28974.953125,29071.865234375,-297.1715594573652,-82.97734484110333,Downtrend
14-05-2022 13:00,29064.525390625,29093.451171875,28841.64453125,28864.546875,-350.5013921657155,-76.33915725381667,Downtrend
14-05-2022 14:00,28851.259765625,28903.38671875,28717.81640625,28855.5078125,-373.69372226231644,-89.70467927938807,Downtrend
14-05-2022 15:00,28868.140625,29006.921875,28786.052734375,28796.248046875,-389.92892200074857,-111.74042862173883,Downtrend
14-05-2022 16:00,28796.609375,29473.998046875,28702.91015625,29378.89453125,-248.61753280128687,-834.3360598927502,Downtrend
14-05-2022 17:00,29364.845703125,29507.26171875,29274.783203125,29494.62109375,-127.93552815553994,0.0,Downtrend
14-05-2022 18:00,29505.630859375,29820.47265625,29505.630859375,29530.1875,-42.61357059047077,0.0,Downtrend
14-05-2022 19:00,29515.73046875,29554.73828125,29309.373046875,29341.044921875,-34.83066810192031,67.05374999999913,Downtrend
14-05-2022 20:00,29342.16015625,29539.37890625,29328.826171875,29351.884765625,-26.449568307973095,63.030524999998306,Downtrend
14-05-2022 21:00,29352.2578125,29748.921875,29352.2578125,29697.513671875,61.737963795774704,59.24869350000154,Uptrend
14-05-2022 22:00,29690.609375,30155.384765625,29588.423828125,30155.384765625,221.9874352021361,55.69377189000079,Uptrend
14-05-2022 23:00,30157.41015625,30192.802734375,29955.23046875,30129.1875,305.3611821650302,96.59582951879929,Uptrend
15-05-2022 00:00,30098.5859375,30168.94140625,29940.748046875,29941.38671875,301.2416313953472,114.82700082162046,Uptrend
15-05-2022 01:00,29939.037109375,29947.712890625,29827.138671875,29938.69140625,288.55185552965486,103.34430073945623,Uptrend
15-05-2022 02:00,29925.47265625,30002.42578125,29748.603515625,29820.52734375,243.6030280462328,93.0098706655117,Uptrend
15-05-2022 03:00,29817.0390625,29839.376953125,29608.455078125,29696.6328125,179.25890948730375,83.7088835989598,Uptrend
